row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,aspect_category_precision_soft,aspect_category_recall_soft,aspect_category_f1_soft,aspect_term_precision_soft,aspect_term_recall_soft,aspect_term_f1_soft,fw_status_code,fw_error
0,Negative,Negative,Anger,Sadness,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
1,Negative,Negative,Anger,Anger,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
2,Neutral,Negative,Sadness,Sadness,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
3,Negative,Negative,Anger,Sadness,3,2,0.5,0.3333333333333333,0.4,1.0,0.6666666666666666,0.8,1.0,0.6666666666666666,0.8,200,
4,Positive,Negative,Happy,Anger,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
5,Negative,Negative,Anger,Sadness,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,200,
6,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
7,Negative,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,200,
8,Neutral,Negative,Happy,Anger,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
9,Neutral,Negative,Anger,Anger,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
10,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
11,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
12,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
