Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count,absa_overall_sentiment,absa_overall_emotion,absa_triplets_json,absa_raw_text,absa_status_code,absa_error,absa_raw_json,fw_status_code,fw_error,fw_raw_text,fw_overall_sentiment,fw_overall_emotion,fw_triplets_json,fw_raw_json
5.0,প্রোডাক্ট অনেক ভালো এবং অনেক সুন্দর কিন্তু দাম একটু বেশি ✅✅,1 Pair Fashion suit shirt collar wheat three-dimensional collar pin brooch men and women jewelry,Accessories,Happy,Daraz,Positive,10,Positive,Happy,"[{""aspect_category"": ""PRODUCT_QUALITY.Overall_Quality"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক ভালো এবং অনেক সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRICE.Value_for_Money"", ""aspect_term"": ""দাম"", ""opinion_term"": ""একটু বেশি"", ""sentiment"": ""Negative""}]","{
  ""overall_sentiment"": ""Positive"",
  ""aspect"": ""Happy"",
  ""triplets"": [
    {
      ""aspect_category"": ""PRODUCT_QUALITY.Overall_Quality"",
      ""aspect_term"": ""প্রোডাক্ট"",
      ""opinion_term"": ""অনেক ভালো এবং অনেক সুন্দর"",
      ""sentiment"": ""Positive""
    },
    {
      ""aspect_category"": ""PRICE.Value_for_Money"",
      ""aspect_term"": ""দাম"",
      ""opinion_term"": ""একটু বেশি"",
      ""sentiment"": ""Negative""
    }
  ]
}",200,,"{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""PRODUCT_QUALITY.Overall_Quality"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক ভালো এবং অনেক সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRICE.Value_for_Money"", ""aspect_term"": ""দাম"", ""opinion_term"": ""একটু বেশি"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRICE"", ""aspect_term"": ""দাম"", ""opinion_term"": ""একটু বেশি"", ""sentiment"": ""Negative""}]}",Positive,Happy,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRICE"", ""aspect_term"": ""দাম"", ""opinion_term"": ""একটু বেশি"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""প্রোডাক্ট"", ""opinion_term"": ""অনেক সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRICE"", ""aspect_term"": ""দাম"", ""opinion_term"": ""একটু বেশি"", ""sentiment"": ""Negative""}]}"
4.0,The product is good but the left ear has low sound in comparison to the right,QKZ DM9 Wired In-Ear Earphone,Wired Headphone,Sadness,Pickaboo,Negative,16,Negative,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:AUDIO"", ""aspect_term"": ""left ear"", ""opinion_term"": ""has low sound in comparison to the right"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""aspect"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good"",""sentiment"":""Positive""},{""aspect_category"":""ELECTRONICS_AND_GADGETS:AUDIO"",""aspect_term"":""left ear"",""opinion_term"":""has low sound in comparison to the right"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:AUDIO"", ""aspect_term"": ""left ear"", ""opinion_term"": ""has low sound in comparison to the right"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""AUDIO"", ""aspect_term"": ""left ear"", ""opinion_term"": ""has low sound in comparison to the right"", ""sentiment"": ""Negative""}]}",Negative,Anger,"[{""aspect_category"": ""AUDIO"", ""aspect_term"": ""left ear"", ""opinion_term"": ""has low sound in comparison to the right"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""AUDIO"", ""aspect_term"": ""left ear"", ""opinion_term"": ""has low sound in comparison to the right"", ""sentiment"": ""Negative""}]}"
5.0,"টিভি দেখতে ভালো কিন্তু কম্পিউটার ঘনমিটার হিসাবে অত
ভালো না লেখা কেমন জানি ফাটা ফাটা ।",Sony Plus 32'' 4k Supported Android Smart Television Wi-Fi Hd Led Tv 4k Supported Ram 2 gb Rom 16 gb,Televisions,Sadness,Daraz,Negative,15,Negative,Sadness,"[{""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""টিভি"", ""opinion_term"": ""দেখতে ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""কম্পিউটার ঘনমিটার হিসাবে"", ""opinion_term"": ""অত ভালো না"", ""sentiment"": ""Negative""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""লেখা"", ""opinion_term"": ""ফাটা ফাটা"", ""sentiment"": ""Negative""}]","{
  ""overall_sentiment"": ""Negative"",
  ""aspect"": ""Sadness"",
  ""triplets"": [
    {
      ""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"",
      ""aspect_term"": ""টিভি"",
      ""opinion_term"": ""দেখতে ভালো"",
      ""sentiment"": ""Positive""
    },
    {
      ""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"",
      ""aspect_term"": ""কম্পিউটার ঘনমিটার হিসাবে"",
      ""opinion_term"": ""অত ভালো না"",
      ""sentiment"": ""Negative""
    },
    {
      ""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"",
      ""aspect_term"": ""লেখা"",
      ""opinion_term"": ""ফাটা ফাটা"",
      ""sentiment"": ""Negative""
    }
  ]
}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""টিভি"", ""opinion_term"": ""দেখতে ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""কম্পিউটার ঘনমিটার হিসাবে"", ""opinion_term"": ""অত ভালো না"", ""sentiment"": ""Negative""}, {""aspect_category"": ""ELECTRONICS_AND_GADGETS:DISPLAY"", ""aspect_term"": ""লেখা"", ""opinion_term"": ""ফাটা ফাটা"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""DISPLAY"", ""aspect_term"": ""টিভি"", ""opinion_term"": ""দেখতে ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""DISPLAY"", ""aspect_term"": ""কম্পিউটার ঘনমিটার"", ""opinion_term"": ""অত ভালো না"", ""sentiment"": ""Negative""}, {""aspect_category"": ""BUILD_QUALITY"", ""aspect_term"": ""লেখা"", ""opinion_term"": ""ফাটা ফাটা"", ""sentiment"": ""Negative""}]}",Negative,Anger,"[{""aspect_category"": ""DISPLAY"", ""aspect_term"": ""টিভি"", ""opinion_term"": ""দেখতে ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""DISPLAY"", ""aspect_term"": ""কম্পিউটার ঘনমিটার"", ""opinion_term"": ""অত ভালো না"", ""sentiment"": ""Negative""}, {""aspect_category"": ""BUILD_QUALITY"", ""aspect_term"": ""লেখা"", ""opinion_term"": ""ফাটা ফাটা"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""DISPLAY"", ""aspect_term"": ""টিভি"", ""opinion_term"": ""দেখতে ভালো"", ""sentiment"": ""Positive""}, {""aspect_category"": ""DISPLAY"", ""aspect_term"": ""কম্পিউটার ঘনমিটার"", ""opinion_term"": ""অত ভালো না"", ""sentiment"": ""Negative""}, {""aspect_category"": ""BUILD_QUALITY"", ""aspect_term"": ""লেখা"", ""opinion_term"": ""ফাটা ফাটা"", ""sentiment"": ""Negative""}]}"
3.7,The product quality is good. But I think the price is a little bit high.,Huawei CM510 Mini Bluetooth Speaker,Speaker,Happy,Pickaboo,Positive,15,Neutral,Happy,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product quality"", ""opinion_term"": ""is good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""is a little bit high"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""aspect"":""Happy"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product quality"",""opinion_term"":""is good"",""sentiment"":""Positive""},{""aspect_category"":""Value_for_Money"",""aspect_term"":""price"",""opinion_term"":""is a little bit high"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product quality"", ""opinion_term"": ""is good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""is a little bit high"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product quality"", ""opinion_term"": ""is good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""is a little bit high"", ""sentiment"": ""Negative""}]}",Neutral,Happy,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product quality"", ""opinion_term"": ""is good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""is a little bit high"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product quality"", ""opinion_term"": ""is good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""is a little bit high"", ""sentiment"": ""Negative""}]}"
4.0,যে কালার দেয়া সেই কালার পাইনি একটু আলাদা।কিন্তু জিনিসটা ভালো,Comfortable Cotton Pillow for Pregnant Women,Maternity Care,Happy,Daraz,Positive,11,Positive,Happy,"[{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যে কালার দেয়া সেই কালার পাইনি, একটু আলাদা"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""জিনিসটা"", ""opinion_term"": ""ভালো"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Positive"",""aspect"":""Happy"",""triplets"":[{""aspect_category"":""Color_Finish"",""aspect_term"":""কালার"",""opinion_term"":""যে কালার দেয়া সেই কালার পাইনি, একটু আলাদা"",""sentiment"":""Negative""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""জিনিসটা"",""opinion_term"":""ভালো"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যে কালার দেয়া সেই কালার পাইনি, একটু আলাদা"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""জিনিসটা"", ""opinion_term"": ""ভালো"", ""sentiment"": ""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যে কালার দেয়া সেই কালার পাইনি একটু আলাদা"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""জিনিসটা"", ""opinion_term"": ""ভালো"", ""sentiment"": ""Positive""}]}",Neutral,Happy,"[{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যে কালার দেয়া সেই কালার পাইনি একটু আলাদা"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""জিনিসটা"", ""opinion_term"": ""ভালো"", ""sentiment"": ""Positive""}]","{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যে কালার দেয়া সেই কালার পাইনি একটু আলাদা"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""জিনিসটা"", ""opinion_term"": ""ভালো"", ""sentiment"": ""Positive""}]}"
4.0,প্যাকেটের অবস্থা ছিল খুবই খারাপ (থার্ড ক্লাস) প্রোডাক্টের গুণগত মান আলহামদুলিল্লাহ ভালো।,Lotto Durable Casual Shoe for Men - lotto shoes for men,Shoes & Clothing,Sadness,Daraz,Negative,12,Positive,Happy,"[{""aspect_category"": ""PACKAGING:Condition"", ""aspect_term"": ""প্যাকেটের অবস্থা"", ""opinion_term"": ""খুবই খারাপ (থার্ড ক্লাস)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্টের গুণগত মান"", ""opinion_term"": ""আলহামদুলillah ভালো"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Positive"",""aspect"":""Happy"",""triplets"":[{""aspect_category"":""PACKAGING:Condition"",""aspect_term"":""প্যাকেটের অবস্থা"",""opinion_term"":""খুবই খারাপ (থার্ড ক্লাস)"",""sentiment"":""Negative""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""প্রোডাক্টের গুণগত মান"",""opinion_term"":""আলহামদুলillah ভালো"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""PACKAGING:Condition"", ""aspect_term"": ""প্যাকেটের অবস্থা"", ""opinion_term"": ""খুবই খারাপ (থার্ড ক্লাস)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্টের গুণগত মান"", ""opinion_term"": ""আলহামদুলillah ভালো"", ""sentiment"": ""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""PACKAGING:Condition"", ""aspect_term"": ""প্যাকেটের অবস্থা"", ""opinion_term"": ""খুবই খারাপ (থার্ড ক্লাস)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্টের গুণগত মান"", ""opinion_term"": ""আলহামদুলিল্লাহ ভালো"", ""sentiment"": ""Positive""}]}",Positive,Happy,"[{""aspect_category"": ""PACKAGING:Condition"", ""aspect_term"": ""প্যাকেটের অবস্থা"", ""opinion_term"": ""খুবই খারাপ (থার্ড ক্লাস)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্টের গুণগত মান"", ""opinion_term"": ""আলহামদুলিল্লাহ ভালো"", ""sentiment"": ""Positive""}]","{""overall_sentiment"": ""Positive"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""PACKAGING:Condition"", ""aspect_term"": ""প্যাকেটের অবস্থা"", ""opinion_term"": ""খুবই খারাপ (থার্ড ক্লাস)"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""প্রোডাক্টের গুণগত মান"", ""opinion_term"": ""আলহামদুলিল্লাহ ভালো"", ""sentiment"": ""Positive""}]}"
3.0,"যা অডার করেছি তাই পেয়েছি,কিন্তু এত মান সম্মত না,🌾",32 In 1 Multipurpose Precision Screwdriver Disassemble Electronic Repair Tool,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,10,Negative,Sadness,"[{""aspect_category"": ""SERVICE.Order_Process"", ""aspect_term"": ""অডার"", ""opinion_term"": ""যা অডার করেছি তাই পেয়েছি"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_QUALITY.Overall_Quality"", ""aspect_term"": ""মান"", ""opinion_term"": ""এত মান সম্মত না"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""aspect"":""Sadness"",""triplets"":[{""aspect_category"":""SERVICE.Order_Process"",""aspect_term"":""অডার"",""opinion_term"":""যা অডার করেছি তাই পেয়েছি"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_QUALITY.Overall_Quality"",""aspect_term"":""মান"",""opinion_term"":""এত মান সম্মত না"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""SERVICE.Order_Process"", ""aspect_term"": ""অডার"", ""opinion_term"": ""যা অডার করেছি তাই পেয়েছি"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_QUALITY.Overall_Quality"", ""aspect_term"": ""মান"", ""opinion_term"": ""এত মান সম্মত না"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""Order_Process"", ""aspect_term"": ""যা অডার করেছি"", ""opinion_term"": ""পেয়েছি"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""মান"", ""opinion_term"": ""এত মান সম্মত না"", ""sentiment"": ""Negative""}]}",Negative,Sadness,"[{""aspect_category"": ""Order_Process"", ""aspect_term"": ""যা অডার করেছি"", ""opinion_term"": ""পেয়েছি"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""মান"", ""opinion_term"": ""এত মান সম্মত না"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""Order_Process"", ""aspect_term"": ""যা অডার করেছি"", ""opinion_term"": ""পেয়েছি"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""মান"", ""opinion_term"": ""এত মান সম্মত না"", ""sentiment"": ""Negative""}]}"
5.0,"দোলনা ভালোই কিন্তু কালার যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে।",হাতে তৈরি dulna প্রাপ্তবয়স্ক দড়ি বিছানা ঝুলন্ত dulna সব মানুষের জন্য বড় সুইং দড়ি বিছানা রতন dulna ব্যবহার - dolna,"Tools, DIY & Outdoor",Happy,Daraz,Positive,9,Neutral,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""দোলনা"", ""opinion_term"": ""ভালোই"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""aspect"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""দোলনা"",""opinion_term"":""ভালোই"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""কালার"",""opinion_term"":""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""দোলনা"", ""opinion_term"": ""ভালোই"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"", ""sentiment"": ""Negative""}]}",Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""aspect"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""কালার"", ""opinion_term"": ""যেটা চেয়েছিলাম, অন্যটা দেওয়া হয়েছে"", ""sentiment"": ""Negative""}]}"
5.0,Good Combination Of Price and Quality but its a china version.,Lenovo HE05x Sports Magnetic Wireless Neckband Earphone,Bluetooth Headphone,Happy,Pickaboo,Positive,11,Neutral,Happy,"[{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Fake_Counterfeit"", ""aspect_term"": ""china version"", ""opinion_term"": ""its a china version"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""aspect"":""Happy"",""triplets"":[{""aspect_category"":""Value_for_Money"",""aspect_term"":""price"",""opinion_term"":""Good Combination Of Price and Quality"",""sentiment"":""Positive""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""quality"",""opinion_term"":""Good Combination Of Price and Quality"",""sentiment"":""Positive""},{""aspect_category"":""Fake_Counterfeit"",""aspect_term"":""china version"",""opinion_term"":""its a china version"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Fake_Counterfeit"", ""aspect_term"": ""china version"", ""opinion_term"": ""its a china version"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""Price"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""China version"", ""opinion_term"": ""its a china version"", ""sentiment"": ""Negative""}]}",Neutral,Happy,"[{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""Price"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""China version"", ""opinion_term"": ""its a china version"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Neutral"", ""aspect"": ""Happy"", ""triplets"": [{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""Price"", ""opinion_term"": ""Good Combination Of Price and Quality"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Originality"", ""aspect_term"": ""China version"", ""opinion_term"": ""its a china version"", ""sentiment"": ""Negative""}]}"
1.0,"offer er name esob dey, abar return request kora jay na.",Red Tomato 500 gm ± 25 gm,"Fruits, Meat & Frozen",Anger,Daraz,Negative,11,Negative,Anger,"[{""aspect_category"": ""Discount_Offer"", ""aspect_term"": ""offer"", ""opinion_term"": ""esob dey"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Return_Refund"", ""aspect_term"": ""return request"", ""opinion_term"": ""kora jay na"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""aspect"":""Anger"",""triplets"":[{""aspect_category"":""Discount_Offer"",""aspect_term"":""offer"",""opinion_term"":""esob dey"",""sentiment"":""Positive""},{""aspect_category"":""Return_Refund"",""aspect_term"":""return request"",""opinion_term"":""kora jay na"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""Discount_Offer"", ""aspect_term"": ""offer"", ""opinion_term"": ""esob dey"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Return_Refund"", ""aspect_term"": ""return request"", ""opinion_term"": ""kora jay na"", ""sentiment"": ""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""offer"", ""opinion_term"": ""esob dey"", ""sentiment"": ""Positive""}, {""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""return request"", ""opinion_term"": ""kora jay na"", ""sentiment"": ""Negative""}]}",Negative,Anger,"[{""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""offer"", ""opinion_term"": ""esob dey"", ""sentiment"": ""Positive""}, {""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""return request"", ""opinion_term"": ""kora jay na"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""aspect"": ""Anger"", ""triplets"": [{""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""offer"", ""opinion_term"": ""esob dey"", ""sentiment"": ""Positive""}, {""aspect_category"": ""SERVICE:Return_Refund"", ""aspect_term"": ""return request"", ""opinion_term"": ""kora jay na"", ""sentiment"": ""Negative""}]}"
