Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count,absa_overall_sentiment,absa_overall_emotion,absa_triplets_json,absa_raw_text,absa_status_code,absa_error,absa_raw_json,fw_overall_sentiment,fw_overall_emotion,fw_triplets_json,fw_raw_text,fw_status_code,fw_error,fw_raw_json
2.0,Original but bad smell,Pure And Chemical Free 1Kg Honey Combo Pak,Breakfast,Sadness,Daraz,Negative,4,Neutral,Anger,"[{""aspect_category"": ""Originality"", ""aspect_term"": ""original"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""smell"", ""opinion_term"": ""bad smell"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Originality"",""aspect_term"":""original"",""opinion_term"":""Original"",""sentiment"":""Positive""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""smell"",""opinion_term"":""bad smell"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Originality"", ""aspect_term"": ""original"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""smell"", ""opinion_term"": ""bad smell"", ""sentiment"": ""Negative""}]}",Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Originality"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Authenticity"", ""opinion_term"": ""Bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Authenticity"", ""opinion_term"": ""Smell"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Negative"",
""overall_emotion"": ""Sadness"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Originality"",
""opinion_term"": ""Original"",
""sentiment"": ""Positive""
},
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Authenticity"",
""opinion_term"": ""Bad"",
""sentiment"": ""Negative""
},
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Authenticity"",
""opinion_term"": ""Smell"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Originality"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Authenticity"", ""opinion_term"": ""Bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Authenticity"", ""opinion_term"": ""Smell"", ""sentiment"": ""Negative""}]}"
3.0,"quality is bad, but works","Non Stick Milk ,Tea Cooking Pot,500ml-Red 8 Size",Cookware,Sadness,Daraz,Negative,5,Neutral,Sadness,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""is bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""works"", ""opinion_term"": ""works"", ""sentiment"": ""Positive""}]","{
  ""overall_sentiment"": ""Neutral"",
  ""overall_emotion"": ""Sadness"",
  ""triplets"": [
    {
      ""aspect_category"": ""Overall_Quality"",
      ""aspect_term"": ""quality"",
      ""opinion_term"": ""is bad"",
      ""sentiment"": ""Negative""
    },
    {
      ""aspect_category"": ""Performance_Effectiveness"",
      ""aspect_term"": ""works"",
      ""opinion_term"": ""works"",
      ""sentiment"": ""Positive""
    }
  ]
}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""is bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""works"", ""opinion_term"": ""works"", ""sentiment"": ""Positive""}]}",Negative,Anger,"[{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""works"", ""sentiment"": ""Neutral""}]","{
""overall_sentiment"": ""Negative"",
""overall_emotion"": ""Anger"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""quality"",
""opinion_term"": ""bad"",
""sentiment"": ""Negative""
},
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""quality"",
""opinion_term"": ""works"",
""sentiment"": ""Neutral""
}
]
}
",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""works"", ""sentiment"": ""Neutral""}]}"
5.0,superb quality but tight fit.,Decathlon Men's RUN CUSHION Running Shoe - Khaki - lotto shoes for men,Shoes & Clothing,Love,Daraz,Positive,5,Neutral,Happy,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""superb"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""fit"", ""opinion_term"": ""tight"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""quality"",""opinion_term"":""superb"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"",""aspect_term"":""fit"",""opinion_term"":""tight"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""superb"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""fit"", ""opinion_term"": ""tight"", ""sentiment"": ""Negative""}]}",Positive,Love,"[{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""superb"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FIT_SIZE"", ""aspect_term"": ""fit"", ""opinion_term"": ""tight"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Positive"",
""overall_emotion"": ""Love"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""quality"",
""opinion_term"": ""superb"",
""sentiment"": ""Positive""
},
{
""aspect_category"": ""FIT_SIZE"",
""aspect_term"": ""fit"",
""opinion_term"": ""tight"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Love"", ""triplets"": [{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""superb"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FIT_SIZE"", ""aspect_term"": ""fit"", ""opinion_term"": ""tight"", ""sentiment"": ""Negative""}]}"
5.0,"good loking, but mini size.",Foldable 4 Fan Blade LED Bulb - Four wing-25 Watt,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,5,Neutral,Happy,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""good loking"", ""opinion_term"": ""good loking"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""mini size"", ""opinion_term"": ""mini size"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Design_Style"",""aspect_term"":""good loking"",""opinion_term"":""good loking"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"",""aspect_term"":""mini size"",""opinion_term"":""mini size"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""good loking"", ""opinion_term"": ""good loking"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""mini size"", ""opinion_term"": ""mini size"", ""sentiment"": ""Negative""}]}",Positive,Love,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""loking"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""size"", ""opinion_term"": ""mini"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Positive"",
""overall_emotion"": ""Love"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""loking"",
""opinion_term"": ""good"",
""sentiment"": ""Positive""
},
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""size"",
""opinion_term"": ""mini"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Love"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""loking"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""size"", ""opinion_term"": ""mini"", ""sentiment"": ""Negative""}]}"
5.0,copy unit but works ok,10 Miles 532nm Green Laser Pointer Beam Light,Gadgets,Fear,Daraz,Negative,5,Neutral,Happy,"[{""aspect_category"": ""AUTHENTICITY:Fake_Counterfeit"", ""aspect_term"": ""copy unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY:Performance_Effectiveness"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""AUTHENTICITY:Fake_Counterfeit"",""aspect_term"":""copy unit"",""opinion_term"":""copy"",""sentiment"":""Negative""},{""aspect_category"":""PRODUCT_QUALITY:Performance_Effectiveness"",""aspect_term"":""unit"",""opinion_term"":""works ok"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""AUTHENTICITY:Fake_Counterfeit"", ""aspect_term"": ""copy unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY:Performance_Effectiveness"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]}",Neutral,Love,"[{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]","{
""overall_sentiment"": ""Neutral"",
""overall_emotion"": ""Love"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""unit"",
""opinion_term"": ""copy"",
""sentiment"": ""Negative""
},
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""unit"",
""opinion_term"": ""works ok"",
""sentiment"": ""Positive""
}
]
}
",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Love"", ""triplets"": [{""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]}"
5.0,authentic but not a good quality,"For Huawei Nova 9 SE 4G 5G 4in1 10D Tempered Glass For Huawei Nova 9 SE 4G Glass Screen Protector film Huawei Nova 9SE 5G 6.78"" Cover Camera lens glass Protective Film",Trendy Mobile Accessories,Sadness,Daraz,Negative,6,Negative,Sadness,"[{""aspect_category"": ""Originality"", ""aspect_term"": ""authentic"", ""opinion_term"": ""authentic"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""not a good quality"", ""sentiment"": ""Negative""}]","{
  ""overall_sentiment"": ""Negative"",
  ""overall_emotion"": ""Sadness"",
  ""triplets"": [
    {
      ""aspect_category"": ""Originality"",
      ""aspect_term"": ""authentic"",
      ""opinion_term"": ""authentic"",
      ""sentiment"": ""Positive""
    },
    {
      ""aspect_category"": ""Overall_Quality"",
      ""aspect_term"": ""quality"",
      ""opinion_term"": ""not a good quality"",
      ""sentiment"": ""Negative""
    }
  ]
}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""Originality"", ""aspect_term"": ""authentic"", ""opinion_term"": ""authentic"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""not a good quality"", ""sentiment"": ""Negative""}]}",Negative,Sadness,"[{""aspect_category"": ""AUTHENTICITY"", ""aspect_term"": ""authentic"", ""opinion_term"": ""authentic"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""not a good quality"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Negative"",
""overall_emotion"": ""Sadness"",
""triplets"": [
{
""aspect_category"": ""AUTHENTICITY"",
""aspect_term"": ""authentic"",
""opinion_term"": ""authentic"",
""sentiment"": ""Positive""
},
{
""aspect_category"": ""PRODUCT_QUALITY"",
""aspect_term"": ""quality"",
""opinion_term"": ""not a good quality"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""AUTHENTICITY"", ""aspect_term"": ""authentic"", ""opinion_term"": ""authentic"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_QUALITY"", ""aspect_term"": ""quality"", ""opinion_term"": ""not a good quality"", ""sentiment"": ""Negative""}]}"
3.0,not same colour but good product,new disign Standard Size Man Fashion Short Sleeve T Shirt Men Fitness High Quality Tshirt,Clothing,Happy,Daraz,Positive,6,Positive,Happy,"[{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""not same"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Positive"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Color_Finish"",""aspect_term"":""colour"",""opinion_term"":""not same"",""sentiment"":""Negative""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""not same"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}]}",Neutral,Love,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Colour"", ""opinion_term"": ""same colour"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Colour"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}]","{
""overall_sentiment"": ""Neutral"",
""overall_emotion"": ""Love"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Colour"",
""opinion_term"": ""same colour"",
""sentiment"": ""Negative""
},
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Colour"",
""opinion_term"": ""good product"",
""sentiment"": ""Positive""
}
]
}
",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Love"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Colour"", ""opinion_term"": ""same colour"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Colour"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}]}"
5.0,দেখতে সুন্দর তবে কাপড় ভালো না,Bangladesh World Cup Jersey - Polo Cricket Jersey - Bangladesh Cricket new Jersey,Team Sports,Sadness,Daraz,Negative,6,Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""দেখতে"", ""opinion_term"": ""সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FASHION_AND_APPAREL:Material"", ""aspect_term"": ""কাপড়"", ""opinion_term"": ""ভালো না"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Sadness"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Design_Style"",""aspect_term"":""দেখতে"",""opinion_term"":""সুন্দর"",""sentiment"":""Positive""},{""aspect_category"":""FASHION_AND_APPAREL:Material"",""aspect_term"":""কাপড়"",""opinion_term"":""ভালো না"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""দেখতে"", ""opinion_term"": ""সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FASHION_AND_APPAREL:Material"", ""aspect_term"": ""কাপড়"", ""opinion_term"": ""ভালো না"", ""sentiment"": ""Negative""}]}",Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Appearance"", ""opinion_term"": ""Sundar"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Quality"", ""opinion_term"": ""Kapodhobon"", ""sentiment"": ""Negative""}]","{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Appearance"", ""opinion_term"": ""Sundar"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Quality"", ""opinion_term"": ""Kapodhobon"", ""sentiment"": ""Negative""}]} ",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Appearance"", ""opinion_term"": ""Sundar"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Quality"", ""opinion_term"": ""Kapodhobon"", ""sentiment"": ""Negative""}]}"
3.0,"good product but color vinno ascay,😑",হাতে তৈরি dulna প্রাপ্তবয়স্ক দড়ি বিছানা ঝুলন্ত dulna সব মানুষের জন্য বড় সুইং দড়ি বিছানা রতন dulna ব্যবহার - dolna,"Tools, DIY & Outdoor",Happy,Daraz,Positive,6,Negative,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""color"", ""opinion_term"": ""color vinno ascay"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good product"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""color"",""opinion_term"":""color vinno ascay"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""color"", ""opinion_term"": ""color vinno ascay"", ""sentiment"": ""Negative""}]}",Neutral,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Color"", ""opinion_term"": ""vinno ascay"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Neutral"",
""overall_emotion"": ""Sadness"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Color"",
""opinion_term"": ""vinno ascay"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Color"", ""opinion_term"": ""vinno ascay"", ""sentiment"": ""Negative""}]}"
4.0,the good product but size change,"Lotto Men Blue Slipper, Flipflop",Shoes & Clothing,Happy,Daraz,Positive,6,Negative,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""size change"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"",""aspect_term"":""size"",""opinion_term"":""size change"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""size change"", ""sentiment"": ""Negative""}]}",Neutral,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Size"", ""opinion_term"": ""change"", ""sentiment"": ""Negative""}]","{
""overall_sentiment"": ""Neutral"",
""overall_emotion"": ""Sadness"",
""triplets"": [
{
""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"",
""aspect_term"": ""Size"",
""opinion_term"": ""change"",
""sentiment"": ""Negative""
}
]
}
",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN"", ""aspect_term"": ""Size"", ""opinion_term"": ""change"", ""sentiment"": ""Negative""}]}"
