orig_id,post,aspect,polarity,pred_aspect,pred_sentiment,aspect_true,sent_true,aspect_pred,sent_pred,fw_status_code,fw_raw_text,fw_error,aspect_correct,sentiment_correct,both_correct
6769,জাতীয় ঐক্যফ্রন্টের সমাবেশ সুন্দর করে সফল হওয়ায় আয়োজকদের ধন্যবাদ জানিয়েছেন প্রধানমন্ত্রী ও আওয়ামী লীগ সভাপতি শেখ হাসিনা।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
4380,আসন্ন নির্বাচনে নৌকাকে বিজয়ী করার লক্ষ্যে রূপগঞ্জে আওয়ামী লীগ ও সহযোগী সংগঠনের উদ্যোগে জনসভা হয়েছে।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
5658,অভিনন্দন বাংলাদেশ আওয়ামী লীগ।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
8213,টানা তৃতীয়বারের মত জয় লাভ করায় আওয়ামীলীগকে অভিনন্দন,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
2592,উন্নয়নের ধারা অব্যহত রাখতে আওয়ামীলীগ সরকারের উন্নয়ন ও সাফল্য,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
562,"অভিনন্দন আওয়ামীলীগকে,টানা তৃতীয় বারের জন্য সরকার গঠন করতে যাচ্ছে তাই।",politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
2650,সোহরাওয়ার্দীতে ঐক্যফ্রন্টের সমাবেশ সুন্দরভাবে সফল করায় প্রধানমন্ত্রীর ধন্যবাদ,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
8017,দেশের জনগণ অবশ্যই আশায় আছে একটা সুন্দর নিরপেক্ষ তত্ত্বাবধায়ক সরকারের অধীনে নির্বাচনের।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
3988,নির্বাচনে অংশ না নিলে খুব ভালো হবে কোন বিশৃংখলা সৃষ্টি হবে না এবং ঐক্যফ্রন্ট ছাড়া নির্বাচন অনেক সুন্দর হবে,politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
6337,"এই জায়গায় যতজন আছেন, ততটা ভোট যদি তারা পায় তাইলে তারাই হবে প্রকৃত জয়ী, সরকার গঠনের অধিকার তারা রাখবে বলে মনে করি...",politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
1226,এদেশে অাইনের শাসন অা'লীগ সরকার প্রতিষ্ঠা করেছে।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
598,প্রধানমন্ত্রী শেখ হাসিনার পক্ষে মনোনয়ন সংগ্রহের মাধ্যমে আওয়ামী লীগের মনোনয়ন পত্র বিক্রি শুরু।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
4487,দেশের সরকারের উন্নতি হবে,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
1586,ঐক্যপ্রন্ট নির্বাচনে গেলে ভালো,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
7935,পাতানো নির্বাচন বর্জন করাই ভালো,politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
4804,সংলাপ ভালো হোক এই প্রত্যাশা দেশবাসীর।।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
3792,"আরেকটি এক এগারোর সরকার আসলে ভালো হবে,,,",politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
8852,নির্বাচনে জয়লাভের নিশ্চয়তা থাকলে ভাল হয় ।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
4708,ধানের শীষে দিলে ভোট' শান্তি পাবে দেশের লোক,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
7974,নিরপেক্ষ নির্বাচনের মাধ্যমে দেশে শান্তি আনুন।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
3937,জাতির বৃহত্তর স্বার্থে নির্বাচন পিছিয়ে গেলেও ভালো।,politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
