row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
0,Positive,Positive,Happy,Happy,3,3,1.0,0.6666666666666666,0.8,200,
1,Positive,Positive,Happy,Happy,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,200,
2,Positive,Positive,Happy,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
3,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,200,
4,Positive,Positive,Happy,Happy,4,4,1.0,1.0,1.0,200,
5,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
6,Positive,Positive,Love,Happy,1,1,0.0,0.0,0.0,200,
7,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
8,Positive,Positive,Happy,Happy,4,4,1.0,0.75,0.8571428571428571,200,
9,Positive,Positive,Happy,Happy,2,3,0.3333333333333333,0.5,0.4,200,
10,Positive,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
11,Positive,Positive,Happy,Happy,4,3,0.6666666666666666,0.5,0.5714285714285715,200,
12,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
13,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
14,Neutral,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
15,Negative,Negative,Sadness,Sadness,4,2,1.0,0.5,0.6666666666666666,200,
16,Positive,Positive,Happy,Happy,3,2,0.0,0.0,0.0,200,
17,Positive,Positive,Happy,Happy,3,4,0.25,0.3333333333333333,0.28571428571428575,200,
18,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
19,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
20,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
21,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
22,Negative,Negative,Anger,Sadness,3,3,1.0,1.0,1.0,200,
23,Negative,Negative,Anger,Sadness,1,2,1.0,1.0,1.0,200,
24,Positive,Positive,Happy,Happy,4,3,0.6666666666666666,0.5,0.5714285714285715,200,
25,Negative,Negative,Sadness,Sadness,1,2,1.0,1.0,1.0,200,
26,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
27,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
28,Positive,Neutral,Happy,Sadness,2,2,0.5,0.5,0.5,200,
29,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
30,Negative,Negative,Anger,Anger,2,2,0.0,0.0,0.0,200,
31,Positive,Positive,Happy,Happy,3,2,1.0,0.6666666666666666,0.8,200,
32,Negative,Negative,Anger,Anger,2,3,0.3333333333333333,0.5,0.4,200,
33,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
34,Negative,Negative,Anger,Anger,3,2,0.0,0.0,0.0,200,
35,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,200,
36,Neutral,Neutral,Happy,Sadness,2,1,0.0,0.0,0.0,200,
37,Negative,Negative,Anger,Anger,2,2,1.0,0.5,0.6666666666666666,200,
38,Negative,Negative,Anger,Anger,4,4,1.0,1.0,1.0,200,
39,Positive,Positive,Happy,Happy,3,1,1.0,0.3333333333333333,0.5,200,
40,Positive,Positive,Happy,Happy,3,2,0.5,0.3333333333333333,0.4,200,
41,Negative,Negative,Anger,Anger,2,3,1.0,1.0,1.0,200,
42,Negative,Positive,Anger,Happy,3,2,0.0,0.0,0.0,200,
43,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
44,Positive,Positive,Happy,Happy,4,4,0.5,0.5,0.5,200,
45,Positive,Positive,Happy,Happy,5,4,1.0,0.8,0.888888888888889,200,
