row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
0,Neutral,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,200,
1,Neutral,Negative,Sadness,Anger,2,2,0.5,0.5,0.5,200,
2,Neutral,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
3,Neutral,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
4,Neutral,Neutral,Happy,Sadness,2,2,0.5,0.5,0.5,200,
5,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
6,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
7,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
8,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
9,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
10,Neutral,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
11,Neutral,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
12,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
13,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
14,Neutral,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
15,Neutral,Negative,Happy,Sadness,2,2,1.0,1.0,1.0,200,
16,Neutral,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
17,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
18,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,200,
19,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
20,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
21,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
22,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
23,Negative,Neutral,Fear,Sadness,2,2,1.0,1.0,1.0,200,
24,Negative,Negative,Sadness,Sadness,2,2,1.0,0.5,0.6666666666666666,200,
25,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
26,Neutral,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,200,
27,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
28,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
29,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
30,Neutral,Neutral,Happy,Sadness,2,2,1.0,1.0,1.0,200,
31,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
32,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
33,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
34,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
35,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
36,Positive,Neutral,Happy,Sadness,2,2,0.5,0.5,0.5,200,
37,Positive,Negative,Happy,Anger,2,2,1.0,1.0,1.0,200,
38,Neutral,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
39,Neutral,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,200,
