orig_id,post,aspect,polarity,pred_aspect,pred_sentiment,aspect_true,sent_true,aspect_pred,sent_pred,fw_status_code,fw_raw_text,fw_error,aspect_correct,sentiment_correct,both_correct
289,হ্যা অবিলম্বে একটি ইনক্লোসিভ জাতীয় নির্বাচন চাই।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
1036,কিচ্ছু বলেন না কেনো,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
535,মেসি কি টাকা ছাড়া খেলে?,sports,neutral,sports,negative,sports,neutral,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,0,0
346,বিশকাপের দুভার্গ্য মেসির চোয়া পায়নি,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
1075,শফি হল শয়তান আর তুই হলে তার বাপ,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
782,আল্লাহ্ নাই ভাই,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
303,নরসিংদী-৫ (রায়পুরা) আসনে নৌকায় ভোট চাইছেন কেন্দ্রীয় কৃষক লীগের সাংগঠনিক সম্পাদক অ্যাডভোকেট মোহাম্মদ সামছুল হক।,politics,positive,politics,neutral,politics,positive,politics,neutral,200,"{""aspect"": ""politics"", ""sentiment"": ""neutral""} ",,1,0,0
754,ঠিক বলেছেন ভাই ইসলাম নিয়ে লিখলেই চলবে না,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
536,এই সব উপর খেলা।,sports,neutral,sports,positive,sports,neutral,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,0,0
76,ভোট কেন্দ্র কত লাখ ॥॥,politics,neutral,politics,negative,politics,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
405,কোন ব্যাপার না খেলা হবে না আর,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
1308,দেশের দিকে তাকান,other,positive,politics,negative,other,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,0,0
915,আল্লাহ আমাদেরকে সঠীক বুঝ দান করুন,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
551,খেলা কবে থেকে শুরু,sports,neutral,sports,neutral,sports,neutral,sports,neutral,200,"{""aspect"": ""sports"", ""sentiment"": ""neutral""} ",,1,1,1
1221,আয়ই কিয়া কইতাম,other,neutral,other,negative,other,neutral,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,0,0
43,"জামায়াত নিয়ে অপপ্রচার করতে করতে এখন অপপ্রচার,প্রচারে পরিনত হয়েছে।",politics,negative,religion,negative,politics,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,0,1,0
259,জননেত্রী শেখ হাসিনা খুব ভাল করে জানেন কিভাবে গনতন্ত্রের নেতৃত্ব দিতে হয়।,politics,positive,politics,positive,politics,positive,politics,positive,200,"{""aspect"": ""politics"", ""sentiment"": ""positive""} ",,1,1,1
115,নির্বাচন কমিশনের সচিব,politics,neutral,politics,neutral,politics,neutral,politics,neutral,200,"{""aspect"": ""politics"", ""sentiment"": ""neutral""} ",,1,1,1
585,মেসির আন্তর্জাতিক ট্রফির সংখ্যা কতো।,sports,neutral,sports,neutral,sports,neutral,sports,neutral,200,"{""aspect"":""sports"",""sentiment"":""neutral""} ",,1,1,1
1046,এই মলাউনের বাচ্চায় মনে হয় তার মার মুত খাইছে......,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
78,তফসিলের পর সরকারি সুযোগ-সুবিধা নয়,politics,neutral,politics,negative,politics,neutral,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
49,জনগন ভাবছে হাসিনার মৃত্তু হচ্ছে না কেন?,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
367,"বিশ্বকাপ অর্জনের বিষয়। দানের বিষয় নয়, এটা নিতে হলে দলীয় পারফরম্যান্স লাগে, একক পারফরম্যান্স দিয়ে আর যাই হোক বিশ্বকাপ জেতা যায়না",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
1054,ঔই সালকে বহিসকার করা হক,other,negative,politics,negative,other,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,0,1,0
1029,ওর তো লজ্জা সরম বলতে কিছুই নাই,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
624,হেলিকপ্টার দুর্ঘটনা থেকে ক্রিকেটার সাকিব আল হাসান রক্ষা পাওয়ায় মিলাদের আয়োজন করেছিল তার পরিবার,sports,positive,sports,positive,sports,positive,sports,positive,200,"{""aspect"":""sports"",""sentiment"":""positive""} ",,1,1,1
390,"যে দলের সমর্থকরা মাদকাসক্তিতে আসক্ত  তাদের দ্বারা আর কি আশা করা যায়,বিশ্বকাপ তো দূরের কথা।",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
316,বাংলার জনগন নির্বাচনের জন্য চাতক পাখির মত চেয়ে আছে।,politics,positive,politics,negative,politics,positive,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,0,0
1006,মাস আল্লাহ মাস আল্লাহ তৌফিক দান করুন আল্লাহ শিখতে পারি যেন,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
869,আলহামদুলিল্লাহ আল্লাহ আকবর,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
1032,বিচি সাবধানে রাখিস,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
358,বিশ্বকাপ হাতে তুলে দিলে পুরোপুরি জমতো না।,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
1001,আল্লাহ ড.জাকির নায়েকের নেক হায়াত বাড়িয়ে দিন।,religion,positive,religion,positive,religion,positive,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,1,1,1
394,আমি তাকে বার্সায় দেখতে চাইনা,sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"": ""sports"", ""sentiment"": ""negative""} ",,1,1,1
