row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
0,Neutral,Negative,Anger,Sadness,2,3,0.0,0.0,0.0,200,
1,Neutral,Negative,Sadness,Anger,2,2,0.5,0.5,0.5,200,
2,Neutral,Positive,Happy,Love,2,2,1.0,1.0,1.0,200,
3,Neutral,Positive,Happy,Love,2,2,0.0,0.0,0.0,200,
4,Neutral,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
5,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
6,Positive,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
7,Negative,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
8,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
9,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
10,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
11,Neutral,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
12,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
13,Neutral,Neutral,Happy,Happy,2,2,0.0,0.0,0.0,200,
14,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
15,Neutral,Neutral,Happy,Love,2,1,1.0,0.5,0.6666666666666666,200,
16,Neutral,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
17,Negative,Neutral,Anger,Love,2,1,1.0,0.5,0.6666666666666666,200,
18,Negative,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
19,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,200,
20,Negative,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
21,Neutral,Positive,Sadness,Happy,2,1,1.0,0.5,0.6666666666666666,200,
22,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
23,Negative,Neutral,Fear,Love,2,1,0.0,0.0,0.0,200,
24,Negative,Neutral,Sadness,Love,2,1,1.0,0.5,0.6666666666666666,200,
25,Neutral,Neutral,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
26,Neutral,Neutral,Happy,Love,2,1,1.0,0.5,0.6666666666666666,200,
27,Negative,Neutral,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
28,Neutral,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
29,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
30,Neutral,Negative,Happy,Sadness,2,1,0.0,0.0,0.0,200,
31,Negative,Neutral,Anger,Sadness,2,3,0.5,0.5,0.5,200,
32,Neutral,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
33,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
34,Negative,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
35,Negative,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
36,Positive,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
37,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
38,Neutral,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
39,Neutral,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
40,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
41,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
42,Negative,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
43,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
44,Neutral,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
45,Negative,Positive,Anger,Love,2,2,0.5,0.5,0.5,200,
46,Neutral,Neutral,Sadness,Love,2,1,0.0,0.0,0.0,200,
47,Negative,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
48,Neutral,Neutral,Sadness,Love,2,2,0.0,0.0,0.0,200,
49,Neutral,Neutral,Anger,Love,2,1,1.0,0.5,0.6666666666666666,200,
50,Negative,Negative,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
51,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
52,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
53,Negative,Neutral,Anger,Sadness,2,1,0.0,0.0,0.0,200,
54,Positive,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
55,Neutral,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
56,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
57,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
58,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
59,Negative,Neutral,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
60,Neutral,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
61,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
62,Negative,Neutral,Anger,Anger,2,1,0.0,0.0,0.0,200,
63,Neutral,Neutral,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
64,Negative,Neutral,Anger,Sadness,2,1,0.0,0.0,0.0,200,
65,Neutral,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
66,Neutral,Negative,Anger,Anger,2,2,0.0,0.0,0.0,200,
67,Negative,Positive,Anger,Happy,2,2,0.0,0.0,0.0,200,
68,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
69,Negative,Neutral,Anger,Sadness,2,1,0.0,0.0,0.0,200,
70,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
71,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
72,Negative,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
73,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,200,
74,Neutral,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,200,
75,Negative,Negative,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
76,Neutral,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
77,Negative,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
78,Positive,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
79,Neutral,Neutral,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
80,Negative,Neutral,Anger,Fear,2,1,0.0,0.0,0.0,200,
81,Neutral,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
82,Neutral,Positive,Sadness,Love,2,2,0.5,0.5,0.5,200,
83,Neutral,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
84,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
85,Neutral,Positive,Happy,Happy,2,1,1.0,0.5,0.6666666666666666,200,
86,Neutral,Neutral,Happy,Sadness,2,2,1.0,0.5,0.6666666666666666,200,
87,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,200,
88,Negative,Neutral,Anger,Love,2,3,0.5,0.5,0.5,200,
89,Neutral,Neutral,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
90,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
91,Negative,Neutral,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
92,Negative,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
93,Neutral,Positive,Happy,Happy,2,1,0.0,0.0,0.0,200,
94,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
95,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
96,Positive,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
97,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,200,
98,Negative,Neutral,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
99,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
100,Negative,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
101,Neutral,Neutral,Anger,Sadness,2,2,0.5,0.5,0.5,200,
102,Negative,Neutral,Anger,Fear,2,1,0.0,0.0,0.0,200,
103,Neutral,Neutral,Sadness,Love,2,2,1.0,1.0,1.0,200,
104,Neutral,Negative,Happy,Anger,2,1,1.0,0.5,0.6666666666666666,200,
105,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
106,Positive,Neutral,Happy,Anger,2,1,1.0,0.5,0.6666666666666666,200,
107,Negative,Neutral,Anger,Sadness,2,1,0.0,0.0,0.0,200,
108,Positive,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
109,Neutral,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
110,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
111,Neutral,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
112,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
113,Neutral,Neutral,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
114,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
115,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
116,Neutral,Neutral,Fear,Love,2,2,0.0,0.0,0.0,200,
117,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
118,Negative,Negative,Anger,Anger,2,2,1.0,0.5,0.6666666666666666,200,
119,Neutral,Positive,Sadness,Happy,2,1,1.0,0.5,0.6666666666666666,200,
120,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
121,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
122,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
123,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
124,Neutral,Neutral,Happy,Love,2,1,1.0,0.5,0.6666666666666666,200,
125,Negative,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
126,Negative,Neutral,Anger,Love,2,2,0.5,0.5,0.5,200,
127,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,200,
128,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
129,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
130,Negative,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,200,
131,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
132,Neutral,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
133,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,200,
134,Neutral,Neutral,Happy,Love,2,2,0.5,0.5,0.5,200,
135,Neutral,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
136,Neutral,Negative,Happy,Sadness,2,2,0.5,0.5,0.5,200,
137,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
138,Neutral,Positive,Anger,Love,2,2,0.5,0.5,0.5,200,
139,Neutral,Neutral,Sadness,Love,2,2,0.5,0.5,0.5,200,
140,Neutral,Neutral,Sadness,Love,2,2,0.5,0.5,0.5,200,
141,Negative,Neutral,Anger,Love,2,1,0.0,0.0,0.0,200,
142,Neutral,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
143,Neutral,Negative,Happy,Anger,2,2,0.0,0.0,0.0,200,
144,Positive,Neutral,Happy,Sadness,2,2,0.0,0.0,0.0,200,
145,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
146,Neutral,Positive,Sadness,Happy,2,1,0.0,0.0,0.0,200,
147,Neutral,Neutral,Anger,Love,2,4,0.3333333333333333,0.5,0.4,200,
148,Neutral,Neutral,Anger,Anger,2,1,0.0,0.0,0.0,200,
149,Neutral,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
150,Negative,Negative,Anger,Anger,2,2,0.0,0.0,0.0,200,
151,Neutral,Neutral,Sadness,Love,2,2,0.0,0.0,0.0,200,
152,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
153,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
154,Neutral,Positive,Happy,Love,2,2,1.0,1.0,1.0,200,
155,Neutral,Positive,Happy,Happy,2,1,1.0,0.5,0.6666666666666666,200,
156,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
157,Negative,Neutral,Sadness,Love,2,1,0.0,0.0,0.0,200,
158,Neutral,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
159,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
160,Neutral,Negative,Happy,Anger,2,1,0.0,0.0,0.0,200,
161,Positive,,Happy,,2,0,0.0,0.0,0.0,200,
162,Negative,Positive,Sadness,Happy,2,1,0.0,0.0,0.0,200,
163,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
164,Neutral,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,200,
165,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
166,Neutral,Neutral,Anger,Love,2,2,1.0,1.0,1.0,200,
167,Negative,Positive,Anger,Happy,2,1,1.0,0.5,0.6666666666666666,200,
168,Neutral,Neutral,Happy,Love,2,1,0.0,0.0,0.0,200,
169,Positive,Positive,Happy,Happy,2,1,1.0,0.5,0.6666666666666666,200,
170,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
171,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
172,Neutral,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
173,Negative,Neutral,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
174,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
175,Neutral,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
176,Negative,Positive,Sadness,Love,2,3,1.0,0.5,0.6666666666666666,200,
177,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
178,Neutral,Neutral,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
179,Positive,Negative,Happy,Anger,2,1,1.0,0.5,0.6666666666666666,200,
180,Negative,Negative,Sadness,Anger,2,1,0.0,0.0,0.0,200,
181,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
182,Negative,Neutral,Anger,Love,2,1,0.0,0.0,0.0,200,
183,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
184,Positive,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
185,Positive,Neutral,Happy,Love,2,2,0.0,0.0,0.0,200,
186,Positive,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
187,Negative,Neutral,Sadness,Sadness,2,3,0.5,0.5,0.5,200,
188,Neutral,Neutral,Sadness,Love,2,1,1.0,0.5,0.6666666666666666,200,
189,Neutral,,Anger,,2,0,0.0,0.0,0.0,200,
190,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
191,Positive,Positive,Happy,Happy,2,3,0.0,0.0,0.0,200,
192,Negative,Neutral,Anger,Sadness,2,2,0.0,0.0,0.0,200,
193,Neutral,Neutral,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
194,Neutral,Neutral,Happy,Love,2,2,1.0,1.0,1.0,200,
195,Negative,Neutral,Sadness,Love,2,2,0.5,0.5,0.5,200,
196,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
197,Negative,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,200,
198,Positive,Positive,Happy,Happy,2,1,0.0,0.0,0.0,200,
199,Negative,Negative,Anger,Anger,2,1,0.0,0.0,0.0,200,
200,Neutral,Neutral,Happy,Sadness,2,1,0.0,0.0,0.0,200,
201,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
202,Negative,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,200,
203,Negative,Neutral,Anger,Love,2,2,0.0,0.0,0.0,200,
204,Negative,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,200,
205,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,200,
206,Negative,Positive,Anger,Happy,2,2,0.0,0.0,0.0,200,
