row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
0,Positive,Positive,Happy,Happy,2,3,1.0,1.0,1.0,200,
1,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
2,Negative,Negative,Sadness,Anger,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
3,Neutral,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
4,Positive,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
5,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
6,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
7,Neutral,Negative,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
8,Neutral,Neutral,Happy,Happy,3,2,1.0,0.6666666666666666,0.8,200,
9,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
10,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
11,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
12,Neutral,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
13,Negative,Negative,Anger,Anger,1,1,0.0,0.0,0.0,200,
14,Neutral,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
15,Neutral,Neutral,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
16,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
17,Neutral,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
18,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
19,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
20,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
21,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
22,Neutral,Neutral,Anger,Anger,2,2,1.0,1.0,1.0,200,
23,Positive,Neutral,Happy,Happy,2,1,1.0,0.5,0.6666666666666666,200,
24,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
25,Negative,Negative,Anger,Anger,1,3,0.3333333333333333,1.0,0.5,200,
26,Negative,Negative,Sadness,Sadness,3,2,0.0,0.0,0.0,200,
27,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
28,Positive,Positive,Happy,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
29,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
30,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
31,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
32,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
33,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
34,Neutral,Neutral,Sadness,Happy,2,2,1.0,1.0,1.0,200,
35,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
36,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
37,Positive,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,200,
38,Neutral,Neutral,Happy,Happy,3,2,1.0,0.6666666666666666,0.8,200,
39,Negative,Negative,Anger,Sadness,3,2,0.5,0.3333333333333333,0.4,200,
40,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
41,Neutral,Neutral,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
42,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
43,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
44,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,200,
45,Neutral,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
46,Negative,Negative,Anger,Anger,1,1,1.0,1.0,1.0,200,
47,Negative,Negative,Sadness,Sadness,1,1,1.0,1.0,1.0,200,
48,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
49,Negative,Negative,Anger,Anger,1,1,1.0,1.0,1.0,200,
50,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
51,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,200,
52,Negative,Negative,Sadness,Sadness,3,3,1.0,1.0,1.0,200,
53,Positive,Negative,Happy,Anger,2,4,0.0,0.0,0.0,200,
54,Positive,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
55,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
56,Positive,Positive,Happy,Happy,3,4,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
57,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,200,
58,Neutral,Negative,Happy,Sadness,3,2,1.0,0.6666666666666666,0.8,200,
59,Positive,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
60,Neutral,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
61,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
62,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,200,
63,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
64,Negative,Negative,Sadness,Sadness,3,2,0.0,0.0,0.0,200,
65,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,200,
66,Negative,Negative,Anger,Anger,2,2,0.0,0.0,0.0,200,
67,Neutral,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,200,
68,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,200,
69,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,200,
70,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
71,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
72,Neutral,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,200,
73,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
74,Positive,Negative,Happy,Sadness,2,2,0.0,0.0,0.0,200,
75,Positive,Positive,Happy,Happy,2,3,1.0,1.0,1.0,200,
