row_idx,Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count,absa_overall_sentiment,absa_overall_emotion,absa_triplets_json,absa_raw_text,absa_status_code,absa_error,absa_raw_json
0,2,Original but bad smell,Pure And Chemical Free 1Kg Honey Combo Pak,Breakfast,Sadness,Daraz,Negative,4,Neutral,Anger,"[{""aspect_category"": ""Originality"", ""aspect_term"": ""original"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""smell"", ""opinion_term"": ""bad smell"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Originality"",""aspect_term"":""original"",""opinion_term"":""Original"",""sentiment"":""Positive""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""smell"",""opinion_term"":""bad smell"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Originality"", ""aspect_term"": ""original"", ""opinion_term"": ""Original"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""smell"", ""opinion_term"": ""bad smell"", ""sentiment"": ""Negative""}]}"
1,3,"quality is bad, but works","Non Stick Milk ,Tea Cooking Pot,500ml-Red 8 Size",Cookware,Sadness,Daraz,Negative,5,Neutral,Sadness,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""is bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""works"", ""opinion_term"": ""works"", ""sentiment"": ""Positive""}]","{
  ""overall_sentiment"": ""Neutral"",
  ""overall_emotion"": ""Sadness"",
  ""triplets"": [
    {
      ""aspect_category"": ""Overall_Quality"",
      ""aspect_term"": ""quality"",
      ""opinion_term"": ""is bad"",
      ""sentiment"": ""Negative""
    },
    {
      ""aspect_category"": ""Performance_Effectiveness"",
      ""aspect_term"": ""works"",
      ""opinion_term"": ""works"",
      ""sentiment"": ""Positive""
    }
  ]
}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""quality"", ""opinion_term"": ""is bad"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Performance_Effectiveness"", ""aspect_term"": ""works"", ""opinion_term"": ""works"", ""sentiment"": ""Positive""}]}"
3,5,"good loking, but mini size.",Foldable 4 Fan Blade LED Bulb - Four wing-25 Watt,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,5,Neutral,Happy,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""good loking"", ""opinion_term"": ""good loking"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""mini size"", ""opinion_term"": ""mini size"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Design_Style"",""aspect_term"":""good loking"",""opinion_term"":""good loking"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"",""aspect_term"":""mini size"",""opinion_term"":""mini size"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""good loking"", ""opinion_term"": ""good loking"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""mini size"", ""opinion_term"": ""mini size"", ""sentiment"": ""Negative""}]}"
4,5,copy unit but works ok,10 Miles 532nm Green Laser Pointer Beam Light,Gadgets,Fear,Daraz,Negative,5,Neutral,Happy,"[{""aspect_category"": ""AUTHENTICITY:Fake_Counterfeit"", ""aspect_term"": ""copy unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY:Performance_Effectiveness"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""AUTHENTICITY:Fake_Counterfeit"",""aspect_term"":""copy unit"",""opinion_term"":""copy"",""sentiment"":""Negative""},{""aspect_category"":""PRODUCT_QUALITY:Performance_Effectiveness"",""aspect_term"":""unit"",""opinion_term"":""works ok"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""AUTHENTICITY:Fake_Counterfeit"", ""aspect_term"": ""copy unit"", ""opinion_term"": ""copy"", ""sentiment"": ""Negative""}, {""aspect_category"": ""PRODUCT_QUALITY:Performance_Effectiveness"", ""aspect_term"": ""unit"", ""opinion_term"": ""works ok"", ""sentiment"": ""Positive""}]}"
6,3,not same colour but good product,new disign Standard Size Man Fashion Short Sleeve T Shirt Men Fitness High Quality Tshirt,Clothing,Happy,Daraz,Positive,6,Positive,Happy,"[{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""not same"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Positive"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""Color_Finish"",""aspect_term"":""colour"",""opinion_term"":""not same"",""sentiment"":""Negative""},{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""Color_Finish"", ""aspect_term"": ""colour"", ""opinion_term"": ""not same"", ""sentiment"": ""Negative""}, {""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good"", ""sentiment"": ""Positive""}]}"
7,5,দেখতে সুন্দর তবে কাপড় ভালো না,Bangladesh World Cup Jersey - Polo Cricket Jersey - Bangladesh Cricket new Jersey,Team Sports,Sadness,Daraz,Negative,6,Negative,Sadness,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""দেখতে"", ""opinion_term"": ""সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FASHION_AND_APPAREL:Material"", ""aspect_term"": ""কাপড়"", ""opinion_term"": ""ভালো না"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Sadness"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Design_Style"",""aspect_term"":""দেখতে"",""opinion_term"":""সুন্দর"",""sentiment"":""Positive""},{""aspect_category"":""FASHION_AND_APPAREL:Material"",""aspect_term"":""কাপড়"",""opinion_term"":""ভালো না"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Sadness"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""দেখতে"", ""opinion_term"": ""সুন্দর"", ""sentiment"": ""Positive""}, {""aspect_category"": ""FASHION_AND_APPAREL:Material"", ""aspect_term"": ""কাপড়"", ""opinion_term"": ""ভালো না"", ""sentiment"": ""Negative""}]}"
8,3,"good product but color vinno ascay,😑",হাতে তৈরি dulna প্রাপ্তবয়স্ক দড়ি বিছানা ঝুলন্ত dulna সব মানুষের জন্য বড় সুইং দড়ি বিছানা রতন dulna ব্যবহার - dolna,"Tools, DIY & Outdoor",Happy,Daraz,Positive,6,Negative,Anger,"[{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""color"", ""opinion_term"": ""color vinno ascay"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Negative"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Overall_Quality"",""aspect_term"":""product"",""opinion_term"":""good product"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Color_Finish"",""aspect_term"":""color"",""opinion_term"":""color vinno ascay"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Negative"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Overall_Quality"", ""aspect_term"": ""product"", ""opinion_term"": ""good product"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Color_Finish"", ""aspect_term"": ""color"", ""opinion_term"": ""color vinno ascay"", ""sentiment"": ""Negative""}]}"
10,3,it's look beautiful 🤩 but small.,100Pcs/Set K-POP BTS PROOF Concept Stickers,Stationery & Craft,Sadness,Daraz,Negative,6,Neutral,Happy,"[{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""it"", ""opinion_term"": ""look beautiful 🤩"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""it"", ""opinion_term"": ""small"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Design_Style"",""aspect_term"":""it"",""opinion_term"":""look beautiful 🤩"",""sentiment"":""Positive""},{""aspect_category"":""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"",""aspect_term"":""it"",""opinion_term"":""small"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Design_Style"", ""aspect_term"": ""it"", ""opinion_term"": ""look beautiful 🤩"", ""sentiment"": ""Positive""}, {""aspect_category"": ""PRODUCT_APPEARANCE_DESIGN:Size_Dimensions"", ""aspect_term"": ""it"", ""opinion_term"": ""small"", ""sentiment"": ""Negative""}]}"
11,4,price hisebe chole but size soto,Helmet Inner Cap for Motorcycle Helmet Cycling and Outdoor Helmets- Black,Motorcycle Riding Gear,Sadness,Daraz,Negative,6,Neutral,Anger,"[{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""hisebe chole"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""soto"", ""sentiment"": ""Negative""}]","{""overall_sentiment"":""Neutral"",""overall_emotion"":""Anger"",""triplets"":[{""aspect_category"":""Value_for_Money"",""aspect_term"":""price"",""opinion_term"":""hisebe chole"",""sentiment"":""Positive""},{""aspect_category"":""Size_Dimensions"",""aspect_term"":""size"",""opinion_term"":""soto"",""sentiment"":""Negative""}]}",200,,"{""overall_sentiment"": ""Neutral"", ""overall_emotion"": ""Anger"", ""triplets"": [{""aspect_category"": ""Value_for_Money"", ""aspect_term"": ""price"", ""opinion_term"": ""hisebe chole"", ""sentiment"": ""Positive""}, {""aspect_category"": ""Size_Dimensions"", ""aspect_term"": ""size"", ""opinion_term"": ""soto"", ""sentiment"": ""Negative""}]}"
12,4,size e ektu choto but satiating 🤭,UNO Card Game Play-1pcs - Multicolor,Traditional Games,Happy,Daraz,Positive,6,Positive,Happy,"[{""aspect_category"": ""PACKAGING"", ""aspect_term"": ""size"", ""opinion_term"": ""ektu choto"", ""sentiment"": ""Negative""}, {""aspect_category"": ""TASTE_FLAVOR"", ""aspect_term"": ""satiating"", ""opinion_term"": ""satiating 🤭"", ""sentiment"": ""Positive""}]","{""overall_sentiment"":""Positive"",""overall_emotion"":""Happy"",""triplets"":[{""aspect_category"":""PACKAGING"",""aspect_term"":""size"",""opinion_term"":""ektu choto"",""sentiment"":""Negative""},{""aspect_category"":""TASTE_FLAVOR"",""aspect_term"":""satiating"",""opinion_term"":""satiating 🤭"",""sentiment"":""Positive""}]}",200,,"{""overall_sentiment"": ""Positive"", ""overall_emotion"": ""Happy"", ""triplets"": [{""aspect_category"": ""PACKAGING"", ""aspect_term"": ""size"", ""opinion_term"": ""ektu choto"", ""sentiment"": ""Negative""}, {""aspect_category"": ""TASTE_FLAVOR"", ""aspect_term"": ""satiating"", ""opinion_term"": ""satiating 🤭"", ""sentiment"": ""Positive""}]}"
