orig_id,post,aspect,polarity,pred_aspect,pred_sentiment,aspect_true,sent_true,aspect_pred,sent_pred,fw_status_code,fw_raw_text,fw_error,aspect_correct,sentiment_correct,both_correct
7611,সোনার ছেলেরা কোনো অপরাধ করতে পারে না,other,positive,other,positive,other,positive,other,positive,200,"{""aspect"": ""other"", ""sentiment"": ""positive""} ",,1,1,1
5175,শতবর্ষ পরেও এমন মাশরাফি কেউ পাবে কী না সন্দেহ! এমন এক মহান মানুষের অধিনায়কত্বের শেষ বিদায়ে আজ কান্না করলো সিলেটের মা,sports,negative,sports,positive,sports,negative,sports,positive,200,"{""aspect"": ""sports"", ""sentiment"": ""positive""} ",,1,0,0
421,বাংলাদেশ ইসলামি ছাত্র শিবির,politics,neutral,religion,positive,politics,neutral,religion,positive,200,"{""aspect"": ""religion"", ""sentiment"": ""positive""} ",,0,0,0
8703,বিপ্লব ছাড়া স্বৈরশাসক এর পতন সম্ভব নয়।,politics,negative,politics,negative,politics,negative,politics,negative,200,"{""aspect"": ""politics"", ""sentiment"": ""negative""} ",,1,1,1
689,"সমস্ত লোক‌দের কার‌নেই আজ আমা‌দের ক্রি‌কে‌টের এর অবস্থা, পাপ‌নের পদত্যাগ দাবী কর‌ছি।",sports,negative,sports,negative,sports,negative,sports,negative,200,"{""aspect"":""sports"",""sentiment"":""negative""} ",,1,1,1
4139,পাপন যে নিজেই একজন ক্যাসিনো জুয়ারি ও সভাপতি থাকে কিভাবে।,religion,negative,other,negative,religion,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,0,1,0
8333,পাকিস্তান ইনশা-আল্লাহ....,other,positive,other,neutral,other,positive,other,neutral,200,"{""aspect"": ""other"", ""sentiment"": ""neutral""} ",,1,0,0
1837,খুতবার সময় কোন কাজ করা এমনকি সামান্যতম কথা বলা ও নিষেধ,religion,negative,religion,negative,religion,negative,religion,negative,200,"{""aspect"": ""religion"", ""sentiment"": ""negative""} ",,1,1,1
6286,নির্বাচনের তফসিল ঘোষণা,politics,neutral,politics,neutral,politics,neutral,politics,neutral,200,"{""aspect"": ""politics"", ""sentiment"": ""neutral""} ",,1,1,1
2491,বনের গুরু বাঘ ছিনেনা।,other,negative,other,negative,other,negative,other,negative,200,"{""aspect"": ""other"", ""sentiment"": ""negative""} ",,1,1,1
