row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,fw_status_code,fw_error
0,Neutral,Negative,Anger,Sadness,2,1,0.0,0.0,0.0,200,
1,Neutral,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,200,
2,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
3,Neutral,Negative,Happy,Sadness,2,2,0.0,0.0,0.0,200,
4,Neutral,Neutral,Happy,Happy,2,1,0.0,0.0,0.0,200,
5,Negative,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,200,
6,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,200,
7,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
8,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
9,Negative,Negative,Anger,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
10,Neutral,Negative,Happy,Sadness,2,2,0.0,0.0,0.0,200,
11,Neutral,Negative,Anger,Anger,2,2,0.5,0.5,0.5,200,
12,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,200,
13,Neutral,Negative,Happy,Happy,2,2,1.0,1.0,1.0,200,
14,Neutral,Negative,Happy,Anger,2,2,1.0,1.0,1.0,200,
15,Neutral,Negative,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
16,Neutral,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
17,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
18,Negative,Negative,Anger,Anger,2,1,1.0,0.5,0.6666666666666666,200,
19,Negative,Negative,Anger,Anger,2,2,1.0,1.0,1.0,200,
20,Negative,Negative,Sadness,Sadness,2,1,1.0,0.5,0.6666666666666666,200,
21,Neutral,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,200,
22,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,200,
