Rating,Review,Product Name,Product Category,Emotion,Data Source,Sentiment,word_count
5.0,very good according to the price 100% recommendable and trust worthy seller I've ordered thrice after 1,1pc Cute Large Hair Brush Massage Comb Shower Wet Detangle Hair Brush Salon Hair Styling Tools For Women,Hair Care,Happy,Daraz,Positive,18
5.0,"a good product, got some discount. thanks daraz and tjamks esquire",Sharp Grill Microwave Oven R-72A1-SM-V 25 Litres - Mirror Silver,Microwaves,Happy,Daraz,Positive,11
5.0,Good Product at this kind of price. Everyone can buy it. The body frame is not so good but this price it's manageable.,"Exceptional Quality - DEIL 32 inch Wifi-Smart Android LED TV (2GB RAM, 16GB ROM) 4K Supported - Sleek Usage",Televisions,Happy,Daraz,Positive,24
1.0,kapor akbare kharap .samne thake dekle discoloure Mone hoi.akdom e vlo na.,King Size Bedsheet Set with Two Pillow Covers,Bedding,Anger,Daraz,Negative,13
5.0,"the unit was hit by something. a mark is there but spray working properly. 
the product is good. huge quantity.","‘Selleys’ - RP7 300G/422ML Multi -Purpose Anti Rust Spray (For Household, Bike, Car, Cycle etc usage)",Oils & Fluids,Happy,Daraz,Positive,20
5.0,Book quality is satisfactory. I would like to recommend the seller.,Atomic Habits,Books,Sadness,Daraz,Negative,11
5.0,সত্যি অনেক সুন্দর হয়েছে।ধন্যবাদ🥰,Custom Name And Photo Printed Premium Wooden Key Ring,Car Interior Accessories,Happy,Daraz,Positive,5
1.0,Quality is so poor. I returned the product but the seller denied.,32 In 1 Multipurpose Precision Screwdriver Disassemble Electronic Repair Tool,"Tools, DIY & Outdoor",Sadness,Daraz,Negative,12
5.0,Excellent product. Fit is good. Superb lens quality. Perfect for daytime driving.,Vocoal Men Belt Outdoor Tactical Belt Quick Release Buckle Belt Nylon Web Waistband Elastic Belt Utility Gear Adjustable Heavy Duty Belt Casual Tooling Training Belt Military Trousers Belt for Man,Camping & Hiking,Love,Daraz,Positive,12
5.0,"ভালই শ্যাম্পুটা,আগেও ইউজ করেছি।সাথে পার্স ও গিফট পেলাম।ধন্যবাদ সেলারকে।",Tresemme Shampoo Keratin Smooth 580ml,Hair Care,Happy,Daraz,Positive,12
5.0,Actually good product but delivery time is to much pain. I'll give 4 out of 5 to this product.,Summerflowers 240PCS Game Card Collection Holder Pokemon Cards Album Book Cartoon Anime Collection Folder Kid Cool Toy Gift(Cards excluded),Traditional Games,Happy,Daraz,Positive,20
5.0,akdm original product..seller k onkk thanks ☺️..ja dakhaice ta e dice..sby nite paren..use kri ni akn..o..1 mas por janabo ..,Beard Growth Solution Oil for Men - 30Ml,Men's Care,Happy,Daraz,Positive,24
5.0,"প্রোডাক্ট অনেক ভালো ,সেলার খুবই আন্তরিক 😊  নিতে পারেন",হাতে তৈরি dulna প্রাপ্তবয়স্ক দড়ি বিছানা ঝুলন্ত dulna সব মানুষের জন্য বড় সুইং দড়ি বিছানা রতন dulna ব্যবহার - dolna,"Tools, DIY & Outdoor",Happy,Daraz,Positive,8
5.0,fully satisfied and recommended. Anyone can buy this product.cloths quality is very good 👍,New Collection Outerwear Rani Borkha For Women Regular Outerwear Abaya Borka,Muslim Wear,Love,Daraz,Positive,14
5.0,সেন্ডেলটি পছন্দ হয়েছে। দুঃখের বিষয় সাইজ ছোট। আমি ৩৮ বলেছিলাম কিন্ত এখন দেখছি ৪০ হলে পরতে পারতাম। ধন্যবাদ।,Smart Ladies Eva Sandal Flip Flop 2 Inch Hill - Shoe For Women,Shoes,Happy,Daraz,Positive,18
5.0,জুতা gula dakta sundor kintu quality ta basi vlo na ai dam a ato vlo douar o kth na jak dakhi koto din jai,Premium quality soft leather shoes sandals for women,Shoes,Anger,Daraz,Negative,24
5.0,এতো অল্প দামে Curren brand ঘড়ি। আমি পরপর দুইটা নিছি। I am satisfied for product quality. thanks daraz & seller.,CURREN 9015-Rosegold & Blue Women Watch Luxury Stainless Steel Ladies Watch,Watches,Love,Daraz,Positive,19
5.0,"ছোট একটা গ্যাজেট বড় একটা ঘর কভার করে দিয়েছে, চমৎকার আলো। ধন্যবাদ সেলার কে।","Usb Mini Led Disco Magic Ball Lights, Sound Sensor Led Small Magic Ball Light",Media & Music,Happy,Daraz,Positive,14
5.0,very good product..... really good to see ...... fits on my hand perfectly,Classic Punk Men's Bracelets -Stainless Steel Curb Cuban Link Chain Color Black Bracelet Men Women Jewelry Gift,Men's Jewelry,Happy,Daraz,Positive,12
5.0,"At this price range, best product... Recommended ❤️",Sony Plus 32 Inch 2GB/16GB Frameless Smart Android TV with Free Wall Mount,Television,Love,Pickaboo,Positive,7
3.0,ভালোই। তবে ব্যাগের রোপটা মানে দড়িটা একটু বড় হলে ভালো হয়।,SamiaCrafts Athleisure - Avant Grade - Highly Sustainable - Bag For Women's Cotton Hand Bag With Zipper - Durabilty Assured - Well Inspired & Crafted,Bags,Sadness,Daraz,Negative,11
5.0,"ধন্যবাদ সেলার কে, মার্কেট প্রাইজ থেকে অনেক কম দামে ভাল প্রোডাক্ট দেওয়ার জন্য।",Neocare Belt System Baby Premium Diaper S (3-6 kg) - 50pcs,Diapering & Potty,Happy,Daraz,Positive,13
5.0,good product and delivery speed also good. Just problem till now that I've got is inner swing is not working.,Midea 1.5 Ton Non Inverter Ac Split Type Air Conditioner 5 Year Compressor Official Warranty,Air Conditioners,Sadness,Daraz,Negative,21
3.0,date 01/23  কিন্তু দেখা যায় অনেক পুরান মাল।,Tresemme Shampoo Keratin Smooth 580ml,Hair Care,Anger,Daraz,Negative,9
5.0,"well packed and delivered soon, thankyou for your service and gift",UNITED MX 2T II API TB II SIZE 1L,Oils & Fluids,Happy,Daraz,Positive,11
3.0,Belt quality er ektu better hote Parto..,CURREN 9015 Women's Watch Luxury Stainless Steel Ladies Watch - Black,Watches,Sadness,Daraz,Negative,7
5.0,"খুব ভালো কাগজ ছিল, কোনো রকম সমস্যা ছাড়াই পেয়েছি। ধন্যবাদ দারাজ ও স্টোরকে।",A4 Paper - 80GSM - 500 Sheets,Stationery & Craft,Happy,Daraz,Positive,13
