row_idx,absa_overall_sentiment,fw_overall_sentiment,absa_overall_emotion,fw_overall_emotion,absa_triplets_n,fw_triplets_n,triplet_term_sent_precision,triplet_term_sent_recall,triplet_term_sent_f1,aspect_category_precision_soft,aspect_category_recall_soft,aspect_category_f1_soft,aspect_term_precision_soft,aspect_term_recall_soft,aspect_term_f1_soft,fw_status_code,fw_error
0,Negative,Negative,Anger,Sadness,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
1,Negative,Negative,Anger,Sadness,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,1.0,1.0,1.0,200,
2,Neutral,Positive,Sadness,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
3,Negative,Negative,Anger,Sadness,3,3,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,200,
4,Positive,Neutral,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
5,Negative,Positive,Anger,Happy,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,200,
6,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
7,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
8,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
9,Neutral,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
10,Neutral,Positive,Sadness,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
11,Neutral,Positive,Sadness,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
12,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
13,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
14,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
15,Neutral,Neutral,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
16,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
17,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
18,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
19,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
20,Neutral,Neutral,Happy,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,200,
21,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
22,Neutral,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
23,Negative,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
24,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
25,Negative,Neutral,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
26,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
27,Neutral,Neutral,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
28,Neutral,Positive,Happy,Happy,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,200,
29,Neutral,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
30,Positive,Positive,Happy,Happy,2,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
31,Positive,Positive,Happy,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
32,Neutral,Negative,Anger,Sadness,2,3,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,0.8,200,
33,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
34,Neutral,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
35,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
36,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
37,Neutral,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
38,Neutral,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,200,
39,Neutral,Negative,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,200,
40,Positive,Positive,Happy,Love,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
41,Neutral,Positive,Happy,Happy,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,200,
42,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
43,Negative,Negative,Sadness,Anger,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,200,
44,Negative,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
45,Neutral,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
46,Neutral,Positive,Anger,Happy,2,3,1.0,1.0,1.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
47,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
48,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
49,Neutral,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
50,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
51,Positive,Neutral,Happy,Happy,2,4,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.5,1.0,0.6666666666666666,200,
52,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
53,Negative,Negative,Anger,Sadness,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,200,
54,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
55,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,200,
56,Neutral,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
57,Neutral,Neutral,Happy,Sadness,2,1,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,1.0,0.5,0.6666666666666666,200,
58,Positive,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,200,
59,Neutral,Negative,Sadness,Sadness,2,1,0.0,0.0,0.0,1.0,0.5,0.6666666666666666,0.0,0.0,0.0,200,
60,Positive,Neutral,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
61,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
62,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
63,Positive,Negative,Happy,Sadness,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
64,Positive,Negative,Happy,Sadness,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
65,Neutral,Neutral,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
66,Negative,Negative,Anger,Anger,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
67,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,200,
68,Neutral,Neutral,Anger,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
69,Neutral,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
70,Neutral,Positive,Anger,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
71,Neutral,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
72,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
73,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,200,
74,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
75,Neutral,Positive,Happy,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
76,Negative,Neutral,Sadness,Sadness,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
77,Positive,Negative,Happy,Anger,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
78,Negative,Negative,Sadness,Sadness,1,2,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,200,
79,Negative,Negative,Anger,Anger,1,2,0.0,0.0,0.0,0.5,1.0,0.6666666666666666,0.0,0.0,0.0,200,
80,Positive,Positive,Happy,Happy,1,1,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
81,Negative,Negative,Anger,Sadness,3,3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,200,
82,Negative,Negative,Anger,Sadness,3,3,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,200,
83,Negative,Negative,Anger,Sadness,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
84,Positive,Positive,Happy,Happy,3,3,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,200,
85,Positive,Positive,Happy,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
86,Negative,Positive,Anger,Happy,3,4,0.75,1.0,0.8571428571428571,0.5,0.6666666666666666,0.5714285714285715,0.75,1.0,0.8571428571428571,200,
87,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
88,Negative,Negative,Anger,Sadness,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
89,Negative,Positive,Anger,Happy,3,3,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,200,
90,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
91,Positive,Positive,Happy,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,200,
92,Positive,Negative,Happy,Anger,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0,1.0,200,
93,Positive,,Happy,,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200,
94,Positive,Positive,Happy,Happy,3,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
95,Positive,Positive,Love,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,200,
96,Negative,Positive,Anger,Happy,3,3,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,1.0,1.0,1.0,200,
97,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,200,
98,Negative,Positive,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
99,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,200,
100,Negative,Negative,Sadness,Sadness,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
101,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
102,Negative,Neutral,Sadness,Sadness,2,2,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,200,
103,Negative,Neutral,Anger,Happy,2,2,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,200,
104,Neutral,Negative,Happy,Sadness,2,2,0.5,0.5,0.5,0.0,0.0,0.0,1.0,1.0,1.0,200,
105,Negative,Neutral,Anger,Sadness,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
106,Neutral,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
107,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
108,Neutral,Neutral,Sadness,Sadness,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,200,
109,Negative,Neutral,Anger,Anger,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,200,
110,Negative,Negative,Sadness,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
111,Negative,Negative,Anger,Sadness,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.0,200,
112,Negative,Positive,Sadness,Happy,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,200,
113,Negative,Positive,Anger,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
114,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
115,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
116,Positive,Negative,Happy,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
117,Positive,Positive,Happy,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,200,
118,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
119,Neutral,Positive,Sadness,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
120,Neutral,Negative,Anger,Love,2,2,0.5,0.5,0.5,0.0,0.0,0.0,0.5,0.5,0.5,200,
121,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
122,Neutral,Positive,Happy,Happy,2,2,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
123,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
124,Negative,Positive,Anger,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
125,Neutral,Positive,Happy,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
126,Negative,Neutral,Anger,Happy,2,2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,200,
127,Neutral,Positive,Anger,Happy,2,3,0.6666666666666666,1.0,0.8,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,0.8,200,
128,Negative,Negative,Sadness,Sadness,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.5,0.5,200,
129,Negative,Neutral,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
130,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
131,Positive,Negative,Happy,Sadness,2,2,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,200,
132,Neutral,Negative,Happy,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
133,Negative,Negative,Anger,Sadness,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
134,Positive,Positive,Happy,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
135,Negative,Negative,Anger,Sadness,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
136,Positive,Negative,Happy,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,200,
137,Negative,Positive,Anger,Love,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
138,Negative,Negative,Anger,Sadness,2,3,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,200,
139,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
140,Negative,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
141,Positive,Neutral,Happy,Happy,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
142,Neutral,Neutral,Sadness,Sadness,2,3,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
143,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
144,Neutral,Positive,Sadness,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
145,Positive,Positive,Happy,Happy,2,3,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
146,Neutral,Positive,Anger,Happy,2,2,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,200,
147,Neutral,Negative,Sadness,Sadness,2,3,0.0,0.0,0.0,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
148,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,200,
149,Neutral,Negative,Happy,Anger,2,2,0.0,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,200,
150,Positive,Positive,Happy,Happy,2,3,0.6666666666666666,1.0,0.8,0.3333333333333333,0.5,0.4,0.6666666666666666,1.0,0.8,200,
151,Negative,Positive,Anger,Sadness,2,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,200,
152,Negative,Positive,Anger,Happy,2,2,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,200,
153,Negative,Negative,Sadness,Sadness,2,3,0.5,0.5,0.5,0.3333333333333333,0.5,0.4,0.3333333333333333,0.5,0.4,200,
154,Negative,Positive,Anger,Happy,2,3,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,0.6666666666666666,1.0,0.8,200,
